position,metric,information_gain,total_ocurences,rank,application
0,FRCH,0.06348830123806169,,1.0,easymock
1,ATAF,0.06348830123806169,,1.0,easymock
2,TACH,0.06348830123806168,,2.0,easymock
3,CHO,0.06348830123806168,,2.0,easymock
4,CHD,0.06348830123806168,,2.0,easymock
5,ACDF,0.06348830123806168,,2.0,easymock
6,parenthesizedExpsQty,0.06348830123806166,,3.0,easymock
7,mathOperationsQty,0.06348830123806165,,4.0,easymock
8,hasJavaDoc,0.06348830123806162,,5.0,easymock
9,CountLineBlank,0.06348830123806143,,6.0,easymock
10,CountPath,0.06348830123806135,,7.0,easymock
11,SumEssential,0.06348830123806118,,8.0,easymock
12,SumCyclomaticStrict,0.063488301238061,,9.0,easymock
13,SumCyclomaticModified,0.06348830123806096,,10.0,easymock
14,assignmentsQty,0.06348830123806092,,11.0,easymock
15,parametersQty,0.0634883012380607,,12.0,easymock
16,CountOutput,0.06348830123806058,,13.0,easymock
17,returnsQty,0.06348830123806033,,14.0,easymock
18,modifiers,0.06348830123806012,,15.0,easymock
19,comparisonsQty,0.06348830123806003,,16.0,easymock
20,lambdasQty,0.06348830123805999,,17.0,easymock
21,loopQty,0.06348830123805996,,18.0,easymock
22,Cyclomatic,0.06348830123805994,,19.0,easymock
23,CyclomaticModified,0.06348830123805994,,19.0,easymock
24,MaxNesting,0.06348830123805994,,19.0,easymock
25,methodsInvokedLocalQty,0.06348830123805993,,20.0,easymock
26,logStatementsQty,0.06348830123805993,,20.0,easymock
27,AvgCyclomatic,0.06348830123805993,,20.0,easymock
28,AvgCyclomaticModified,0.06348830123805993,,20.0,easymock
29,AvgCyclomaticStrict,0.06348830123805993,,20.0,easymock
30,AvgEssential,0.06348830123805993,,20.0,easymock
31,AvgLine,0.06348830123805993,,20.0,easymock
32,AvgLineBlank,0.06348830123805993,,20.0,easymock
33,AvgLineCode,0.06348830123805993,,20.0,easymock
34,AvgLineComment,0.06348830123805993,,20.0,easymock
35,CountClassBase,0.06348830123805993,,20.0,easymock
36,CountClassCoupled,0.06348830123805993,,20.0,easymock
37,CountClassDerived,0.06348830123805993,,20.0,easymock
38,CountDeclClass,0.06348830123805993,,20.0,easymock
39,CountDeclClassMethod,0.06348830123805993,,20.0,easymock
40,CountDeclClassVariable,0.06348830123805993,,20.0,easymock
41,CountDeclFile,0.06348830123805993,,20.0,easymock
42,CountDeclFunction,0.06348830123805993,,20.0,easymock
43,CountDeclInstanceMethod,0.06348830123805993,,20.0,easymock
44,CountDeclInstanceVariable,0.06348830123805993,,20.0,easymock
45,CountDeclMethod,0.06348830123805993,,20.0,easymock
46,CountDeclMethodAll,0.06348830123805993,,20.0,easymock
47,CountDeclMethodDefault,0.06348830123805993,,20.0,easymock
48,CountDeclMethodPrivate,0.06348830123805993,,20.0,easymock
49,CountDeclMethodProtected,0.06348830123805993,,20.0,easymock
50,CountDeclMethodPublic,0.06348830123805993,,20.0,easymock
51,MaxCyclomatic,0.06348830123805993,,20.0,easymock
52,MaxCyclomaticModified,0.06348830123805993,,20.0,easymock
53,MaxCyclomaticStrict,0.06348830123805993,,20.0,easymock
54,MaxEssential,0.06348830123805993,,20.0,easymock
55,MaxInheritanceTree,0.06348830123805993,,20.0,easymock
56,PercentLackOfCohesion,0.06348830123805993,,20.0,easymock
57,FCH,0.06348830123805993,,20.0,easymock
58,LCH,0.06348830123805993,,20.0,easymock
59,WCH,0.06348830123805993,,20.0,easymock
60,WCD,0.06348830123805993,,20.0,easymock
61,WFR,0.06348830123805993,,20.0,easymock
62,LCA,0.06348830123805993,,20.0,easymock
63,LCD,0.06348830123805993,,20.0,easymock
64,CSB,0.06348830123805993,,20.0,easymock
65,CSBS,0.06348830123805993,,20.0,easymock
66,innerClassesQty,0.06348830123805992,,21.0,easymock
67,CountStmtDecl,0.06348830123805992,,21.0,easymock
68,cbo,0.0634883012380599,,22.0,easymock
69,wmc,0.0634883012380599,,22.0,easymock
70,Essential,0.0634883012380599,,22.0,easymock
71,CyclomaticStrict,0.06348830123805982,,23.0,easymock
72,variablesQty,0.0634883012380596,,24.0,easymock
73,maxNestedBlocksQty,0.06348830123805956,,25.0,easymock
74,numbersQty,0.06348830123805875,,26.0,easymock
75,anonymousClassesQty,0.06348830123805817,,27.0,easymock
76,CountLineCodeDecl,0.06335384666888011,,28.0,easymock
77,methodsInvokedIndirectLocalQty,0.06333209003565814,,29.0,easymock
78,BOM,0.06330197802840414,,30.0,easymock
79,RatioCommentToCode,0.06329979115508615,,31.0,easymock
80,tryCatchQty,0.0632441444083674,,32.0,easymock
81,CountSemicolon,0.06322226075184273,,33.0,easymock
82,CountLineComment,0.06321032978002633,,34.0,easymock
83,CountLine,0.063095613801115,,35.0,easymock
84,stringLiteralsQty,0.06309066318071503,,36.0,easymock
85,CountStmt,0.06301006229273043,,37.0,easymock
86,rfc,0.06294642649427981,,38.0,easymock
87,methodsInvokedQty,0.06294642649427981,,38.0,easymock
88,fanout,0.06294642649427978,,39.0,easymock
89,CountInput,0.06293079552121895,,40.0,easymock
90,fanin,0.06291048192583436,,41.0,easymock
91,CountLineCode,0.06271562292974767,,42.0,easymock
92,SumCyclomatic,0.06264682893644263,,43.0,easymock
93,uniqueWordsQty,0.0626378452248371,,44.0,easymock
94,cboModified,0.062459155855230736,,45.0,easymock
95,CountLineCodeExe,0.06240971211135373,,46.0,easymock
96,CountStmtExe,0.06201407706920899,,47.0,easymock
97,loc,0.060370583660862016,,48.0,easymock
98,line,0.05002117414677894,,49.0,easymock
